x,y,z,yaw,duration

0.5, 2.5, 0.1, -1.57, 10

2.5,  2.5, 0.6, -1.57, 20
2.5, 2.5, 0.6, 3.14, 5
2.5, -2.5, 0.6, 3.14, 20
2.5, -2.5, 0.6, 1.57, 5
-2.5, -2.5, 0.6, 1.57, 20
-2.5, -2.5, 0.6, 0, 5
-2.5, 2.5, 0.6, 0, 20
-2.5, 2.5, 0.6, -1.57, 5
2.5,  2.5, 0.6, -1.57, 20

2.5, 2.5, 2, 3.14, 5
2.5, -2.5, 2, 3.14, 20
2.5, -2.5, 2, 1.57, 5
-2.5, -2.5, 2, 1.57, 20
-2.5, -2.5, 2, 0, 5
-2.5, 2.5, 2, 0, 20
-2.5, 2.5, 2, -1.57, 5
2.5,  2.5, 2, -1.57, 20

2.5, 2.5,   4, 3.14, 5
2.5, -2.5,  4, 3.14, 20
2.5, -2.5,  4, 1.57, 5
-2.5, -2.5, 4, 1.57, 20
-2.5, -2.5, 4, 0, 5
-2.5, 2.5,  4, 0, 20
-2.5, 2.5,  4, -1.57, 5
2.5,  2.5,  4, -1.57, 20


2.5, 2.5,   6, 3.14, 5
2.5, -2.5,  6, 3.14, 20
2.5, -2.5,  6, 1.57, 5
-2.5, -2.5, 6, 1.57, 20
-2.5, -2.5, 6, 0, 5
-2.5, 2.5,  6, 0, 20
-2.5, 2.5,  6, -1.57, 5
2.5,  2.5,  6, -1.57, 20

2.5, 2.5,   8, 3.14, 5
2.5, -2.5,  8, 3.14, 20
2.5, -2.5,  8, 1.57, 5
-2.5, -2.5, 8, 1.57, 20
-2.5, -2.5, 8, 0, 5
-2.5, 2.5,  8, 0, 20
-2.5, 2.5,  8, -1.57, 5

0.5,  2.5,  0.1, -1.57, 45

