seg1,t1,seg2,t2
1,1.30734,0,1.00175
2,0.929076,0,0.950674
2,0.952526,1,1.28924
3,1.15181,0,1.03197
3,1.12621,1,1.31553
3,1.09233,2,0.955255
4,1.12139,2,-0.352264
5,0.348816,0,-1.88106
5,-0.896507,2,-0.872266
6,1.09629,2,-0.993044
7,1.0298,0,-1.86626
7,1.99832,2,-2.29351
7,1.03674,5,0.335516
8,1.02813,2,-0.282308
9,-1.09868,2,-0.979626
9,1.3751,7,1.53292
10,4.01116,2,-2.23219
10,4.07809,7,2.00062
11,-0.0214338,0,-1.91637
12,0.913846,7,0.694853
15,0.00843185,0,4.43634
17,1.00037,10,2.39287
17,1.07685,13,2.79285
21,0.892465,0,-2.97037
22,3.06113,0,-3.6212
22,2.02656,5,1.48685
22,0.527458,13,-0.0505674
22,1.17752,14,-0.0756775
22,3.29688,15,0.166718
22,-3.39495,16,0.0956993
22,2.21811,18,0.427474
22,1.91842,19,-0.10302
22,2.04576,20,0.864165
22,2.24814,21,0.187956
23,-3.34246,0,-3.86158
23,-1.67416,17,2.25577
23,-3.41998,22,3.26224
24,1.77006,10,3.98199
25,2.57024,10,2.35428
25,2.55075,17,1.02919
25,2.49279,24,1.71721
26,0.69392,17,2.29875
26,0.459649,19,1.2111
26,0.701308,23,-1.64579
29,-1.01524,10,2.37208
29,-0.992835,25,2.62977
30,1.08644,26,1.0402
32,-0.993613,25,-0.733589
32,-0.987743,26,1.37694
32,0.0830638,31,1.34199
34,1.07516,32,-0.44207
35,3.46965,25,-0.778276
35,2.03394,31,-0.105517
35,3.31903,32,-0.928174
36,0.973302,33,0.913147
36,-0.0513316,35,1.57656
37,0.926406,31,1.33181
37,0.93119,32,0.0786396
37,0.525967,33,0.94219
37,0.535679,36,1.00706
39,-0.0661217,31,2.82941
40,2.16589,2,-1.03281
40,-0.0811261,39,-0.0658596
41,-0.35795,31,2.82826
41,-0.318023,39,-0.07521
41,-0.327569,40,-0.0928508
42,0.970735,29,0.971715
42,-0.938622,31,2.81664
42,-2.22109,37,2.0195
42,-3.1044,39,-0.10328
42,-0.636682,40,-0.0931686
42,-0.890443,41,-0.46453
43,1.08485,39,0.995364
43,-0.267942,42,-1.33586
44,7.0587e-05,37,-0.31497
44,1.91319,40,1.09329
44,0.939334,41,1.23814
45,-2.23346,2,-2.00907
45,-2.40429,7,1.94706
45,0.870566,29,0.86195
45,-0.544377,39,0.983014
45,-1.04323,40,1.10104
45,-0.538472,43,1.06527
45,-1.0376,44,1.92101
47,0.123413,2,-0.73358
48,-0.151068,2,-1.04464
48,-0.407064,5,-0.981137
48,0.77387,45,-1.76253
49,1.15892,37,1.49352
52,1.05606,17,2.262
52,-0.141156,22,1.98325
52,1.11373,23,-1.64437
52,1.11253,26,0.700844
52,2.46658,31,-0.121018
52,2.4561,35,2.04494
53,-0.0450541,0,4.47692
53,2.28555,2,-3.44196
53,0.0692844,15,-0.0628724
53,0.193694,22,3.47929
53,0.0335508,23,-3.62135
54,2.27207,2,-2.43834
54,2.38302,7,2.05746
54,0.108596,22,4.55076
54,1.127,53,1.40768
55,2.54329,22,4.07181
56,1.15888,55,1.30216
57,2.24385,0,4.49493
57,2.22254,15,-0.0799311
57,2.02707,22,3.51993
57,2.22016,23,-3.64174
57,0.0835257,35,4.58183
57,2.22669,53,0.0422809
57,0.962053,56,2.38817
58,1.00064,22,4.06898
58,-0.190911,35,4.16367
58,0.412855,56,2.38618
58,0.382923,57,0.921895
59,1.76675,25,-0.83263
59,1.88601,32,-0.990444
59,1.78701,35,3.45863
59,-0.17905,42,-3.59373
60,1.01693,35,4.14421
60,0.504339,59,0.693776
61,1.90286,22,4.51466
61,-0.466605,35,3.53989
61,2.06592,54,0.0233372
61,0.87086,56,2.39909
61,0.861628,57,0.9685
61,0.913082,58,0.438305
62,-3.33307,35,4.15429
62,-0.166809,55,1.34618
62,-0.276326,56,1.23612
63,2.03899,35,4.71641
63,2.0078,57,-0.0277646
63,1.13126,59,0.696045
63,1.13238,60,0.505755
64,0.0481707,22,4.04939
64,0.827061,53,1.40517
64,0.830914,54,1.12968
65,0.992599,42,-3.69193
65,-0.0613348,56,-0.0758738
65,0.969728,59,-0.223792
66,3.09425,2,-3.72942
66,1.57141,56,-0.0530615
66,1.55408,65,-0.0596607
67,0.786794,2,-3.80153
67,0.794516,66,3.22622
68,-0.223484,42,-2.51469
69,-0.0255201,2,-3.76393
69,1.27753,42,-4.92302
69,-0.0482135,66,3.12134
70,-0.0126625,2,-3.00373
70,0.959783,42,-3.0387
70,0.486381,65,-0.0709419
70,0.49592,66,1.53595
71,0.120454,2,-4.93417
71,1.94905,42,-3.71295
71,1.96871,65,1.00646
71,0.839981,69,0.714757
72,0.0347723,2,-5.11766
72,0.990766,42,-5.05929
73,-0.0323133,2,-4.44871
73,0.494982,69,0.715899
73,0.493021,71,0.838248
74,-0.064511,72,0.506633
75,2.35811,35,6.08672
76,2.0835,35,5.9988
76,0.0539112,65,1.07507
76,2.22846,75,2.38407
77,-0.0256001,35,4.80102
77,1.30354,42,-4.98085
77,-0.0835266,63,2.08665
77,1.32912,69,1.36185
77,1.35705,72,1.07076
77,0.733587,76,1.26377
78,0.460999,76,1.22376
