wall_time,processing_time,seg_vec_size,nblines
1.968e+06,272000,1,10
2.312e+06,343999,2,9
2.632e+06,320000,4,10
2.992e+06,360000,4,10
3.432e+06,439999,4,10
3.8e+06,368000,4,10
4.24e+06,440000,4,10
4.648e+06,407999,4,10
5.072e+06,424000,4,10
5.472e+06,400000,4,10
5.904e+06,431999,4,10
6.328e+06,424000,4,10
6.792e+06,463999,4,10
7.224e+06,432000,4,10
7.64e+06,416000,4,10
8.08e+06,440000,4,10
8.544e+06,464000,4,10
9.024e+06,480000,4,10
9.52e+06,495999,4,10
1.0016e+07,496000,4,10
1.0528e+07,512000,4,10
1.1048e+07,520000,4,10
1.1552e+07,503999,4,10
1.212e+07,568000,4,10
1.264e+07,520000,5,10
1.2816e+07,176000,6,4
1.3e+07,160000,6,4
1.3288e+07,240000,7,5
1.3472e+07,183999,7,5
1.3664e+07,192000,7,4
1.388e+07,200000,7,4
1.408e+07,192000,8,4
1.4272e+07,176000,8,4
1.4464e+07,168000,8,4
1.4704e+07,192000,8,5
1.4896e+07,168000,8,4
1.512e+07,192000,8,4
1.5312e+07,168000,8,4
1.5544e+07,192000,8,4
1.5744e+07,183999,8,4
1.5944e+07,168000,8,4
1.616e+07,176000,8,4
1.6384e+07,192000,8,4
1.6688e+07,279999,9,5
1.704e+07,352000,9,8
1.736e+07,320000,9,6
1.7744e+07,384000,9,8
1.8112e+07,368000,9,8
1.8464e+07,351999,10,7
1.8824e+07,360000,10,9
1.9224e+07,400000,10,8
1.96e+07,376000,10,8
1.996e+07,360000,10,8
2.0256e+07,296000,10,6
2.0528e+07,271999,10,6
2.072e+07,192000,10,4
2.088e+07,160000,10,4
2.108e+07,184000,10,5
2.132e+07,208000,10,5
2.1544e+07,216000,10,5
2.176e+07,216000,10,6
2.1904e+07,143999,10,4
2.2152e+07,176000,10,4
2.2344e+07,160000,10,3
2.2608e+07,208000,10,5
2.2848e+07,232000,10,7
2.312e+07,272000,10,8
2.3352e+07,232000,10,7
2.3592e+07,239999,10,7
2.3864e+07,272000,10,8
2.4096e+07,232000,10,7
2.4304e+07,208000,10,7
2.4568e+07,264000,10,8
2.4752e+07,183999,10,6
2.4952e+07,200000,10,5
2.516e+07,200000,10,5
2.5376e+07,200000,11,5
2.5568e+07,176000,12,6
2.584e+07,239999,12,6
2.5968e+07,128000,13,6
2.6216e+07,192000,14,7
2.6496e+07,256000,14,10
2.6736e+07,240000,15,8
2.7056e+07,320000,16,9
2.7312e+07,256000,18,7
2.7528e+07,216000,19,6
2.7848e+07,319999,19,8
2.8144e+07,296000,20,8
2.8408e+07,264000,20,7
2.8632e+07,224000,20,7
2.8888e+07,256000,20,7
2.9144e+07,256000,20,7
2.9376e+07,232000,20,7
2.9632e+07,256000,20,7
2.984e+07,207999,20,6
3.0024e+07,184000,20,7
3.0152e+07,128000,20,4
3.0264e+07,111999,21,3
3.0536e+07,240000,21,8
3.0768e+07,232000,21,8
3.1016e+07,248000,22,9
3.128e+07,264000,22,9
3.1624e+07,344000,22,10
3.2024e+07,400000,23,10
3.2464e+07,439999,23,10
3.2872e+07,408000,23,10
3.3288e+07,416000,23,10
3.3648e+07,360000,24,8
3.4032e+07,384000,24,10
3.444e+07,407999,25,10
3.4832e+07,392000,27,9
3.5192e+07,360000,27,10
3.5568e+07,375999,27,10
3.5936e+07,368000,27,10
3.6296e+07,359999,27,10
3.6688e+07,392000,27,10
3.708e+07,391999,27,10
3.7424e+07,344000,28,10
3.776e+07,336000,28,8
3.8168e+07,408000,29,9
3.8528e+07,360000,29,8
3.8952e+07,424000,30,10
3.9392e+07,440000,30,10
3.9832e+07,440000,30,10
4.028e+07,448000,31,10
4.072e+07,439999,32,10
4.1144e+07,424000,32,10
4.1568e+07,424000,32,9
4.2064e+07,496000,33,10
4.2496e+07,432000,35,9
4.2872e+07,375999,36,8
4.3152e+07,280000,37,6
4.332e+07,168000,37,4
4.3544e+07,224000,37,5
4.3768e+07,224000,37,5
4.3976e+07,199999,37,4
4.4168e+07,192000,37,3
4.436e+07,192000,38,5
4.4608e+07,248000,38,5
4.4792e+07,184000,38,4
4.5e+07,208000,38,5
4.532e+07,320000,39,8
4.5624e+07,304000,39,8
4.5936e+07,312000,39,8
4.6256e+07,320000,39,8
4.6656e+07,399999,39,9
4.7096e+07,440000,39,10
4.7536e+07,440000,39,10
4.8064e+07,528000,39,10
4.8464e+07,399999,39,8
4.888e+07,416000,39,8
4.9248e+07,367999,39,9
4.96e+07,352000,40,9
4.9904e+07,304000,42,8
5.0272e+07,367999,44,9
5.0632e+07,360000,44,9
5.0992e+07,360000,45,9
5.132e+07,328000,45,8
5.1704e+07,384000,45,10
5.2072e+07,368000,45,9
5.244e+07,367999,45,9
5.28e+07,360000,45,9
5.3072e+07,272000,45,7
5.3376e+07,303999,45,7
5.3712e+07,336000,45,8
5.4064e+07,352000,45,8
5.4424e+07,359999,45,9
5.4632e+07,199999,46,4
5.4816e+07,184000,46,4
5.4968e+07,152000,46,3
5.5296e+07,311999,46,7
5.5544e+07,248000,47,6
5.5824e+07,279999,47,7
5.6104e+07,280000,47,8
5.6368e+07,264000,49,6
5.6632e+07,263999,49,6
5.6952e+07,320000,49,8
5.7216e+07,264000,49,6
5.7536e+07,320000,49,8
5.7824e+07,287999,49,7
5.812e+07,296000,49,7
5.8456e+07,336000,49,9
5.8728e+07,272000,49,6
5.9104e+07,375999,49,8
5.9536e+07,432000,49,8
5.9808e+07,271999,49,5
5.9992e+07,184000,49,3
6.0176e+07,184000,49,4
6.0304e+07,128000,49,2
6.0432e+07,120000,49,3
6.0656e+07,128000,49,3
6.084e+07,104000,49,2
6.1088e+07,136000,49,3
6.1336e+07,175999,49,4
6.1496e+07,120000,49,2
6.1752e+07,160000,49,3
6.1968e+07,168000,49,3
6.2144e+07,128000,49,2
6.2376e+07,152000,49,3
6.2656e+07,215999,49,5
6.2936e+07,280000,49,8
6.3248e+07,312000,49,8
6.36e+07,352000,49,9
6.392e+07,320000,49,8
6.4288e+07,367999,49,9
6.4584e+07,296000,50,10
6.496e+07,376000,50,10
6.5368e+07,407999,50,10
6.588e+07,512000,50,10
6.6272e+07,392000,50,8
6.668e+07,408000,50,8
6.6944e+07,264000,50,6
6.7224e+07,280000,50,7
6.7528e+07,304000,50,7
6.7752e+07,223999,50,5
6.8008e+07,256000,50,6
6.8264e+07,256000,50,6
6.8544e+07,280000,50,7
6.8816e+07,272000,51,7
6.9032e+07,215999,51,5
6.9272e+07,240000,51,6
6.952e+07,247999,51,6
