segment,a_x,a_y,a_z,b_x,b_y,b_z,t_min,t_max
0,1.12133,1.63133,1.162,0.602485,0.157125,-0.894559,-4.21921,1.2778
1,1.56434,0.971485,1.52926,0.119044,0.620678,-0.969673,-0.041143,1.42872
2,1.51354,1.58214,1.62406,0.195358,0.198409,-1.4147,-6.25013,1.3803
3,1.22794,1.27544,1.03117,0.437842,0.4489,-0.694386,-2.28303,1.71483
4,0.567976,1.57525,2.13811,0.779312,0.024732,-0.00299949,-0.110511,1.14458
5,0.36577,1.46538,2.86585,-1.08885,-0.0177418,-0.00241067,-0.983927,1.56947
6,0.579418,1.57721,2.26507,0.689907,-0.0768473,0.52007,-0.149127,1.09629
7,-1.14777,1.76547,0.69762,1.10736,-0.28548,2.09203,-0.167688,2.10973
8,1.11876,1.70467,1.33204,0.330691,-0.0978108,0.68317,-0.062096,1.04944
9,0.978436,1.40265,3.41298,-0.311768,-0.0543162,0.357474,-1.24855,1.48371
10,-1.47999,-1.53832,0.0715872,0.635089,0.669912,1.1743,-0.14773,4.09147
11,-0.0242743,1.3164,2.88334,-0.00366717,-0.660251,0.040932,-0.184211,1.84264
12,-1.17086,1.49024,2.70787,0.866675,0.109792,-0.605261,-1.22035e-05,0.999993
13,-1.51756,1.44959,0.6162,0.52585,-0.479918,0.813762,-0.0756333,2.84864
14,-1.23266,1.49135,2.71098,0.828394,0.118383,-0.547493,-0.178043,0.283507
15,-1.05623,1.13099,4.90073,0.461514,-0.455771,-0.864791,-0.125633,2.06269
16,-1.40108,1.54938,2.12317,0.853315,0.0369234,0.0379752,-0.075579,1.06797
17,1.17797,0.105357,2.92813,-1.13778,-0.0260643,-0.0549364,-2.00359e-05,2.31212
18,-1.43397,1.42472,2.87505,0.0959634,-0.534887,0.640271,-0.00547138,1.53996
19,-1.43303,1.18268,2.64546,-0.0507715,-0.686076,-0.475323,-0.269043,1.24625
20,-0.294231,0.3164,2.88403,-1.09629,1.0661,-0.0189842,3.40381e-07,1.01415
21,-1.3507,1.38718,3.02015,0.759425,-0.109504,0.916345,-0.0658725,1.03507
22,-1.62165,1.58626,-0.221275,0.183474,-0.17275,1.50991,-0.0600934,7.59554
23,-1.61452,-0.968885,1.0091,-0.134872,-0.582503,-1.08516,-3.8092,1.12915
24,-1.1947,-1.23352,2.86945,0.695255,0.721493,0.00870126,-0.107586,1.77139
25,-0.79126,-0.804511,4.43592,0.313797,0.328092,-0.622393,-0.948572,2.72931
26,-1.76596,1.0387,0.701881,0.476476,-1.49753,2.99262,-0.077485,1.39525
27,1.19026,-0.998948,2.84046,-0.782535,0.715444,-0.00064494,-0.143103,1.33897
28,0.17235,-0.0594185,3.1421,0.677367,-0.61957,1.20816,-0.181306,1.28512
29,1.03398,-0.775782,1.3627,0.992173,-0.842515,-1.45571,-1.02765,0.999998
30,-1.29325,-1.26836,2.91267,0.0645045,0.692326,0.824771,-0.00406978,1.09627
31,-1.24249,-1.35581,2.776,0.966131,0.0273683,-0.00319518,-0.200916,2.90034
32,-0.0387882,-1.30048,2.92985,1.11817,-0.240345,-1.90139,-1.09232,1.11407
33,-1.15473,-1.34769,2.62189,0.820666,-0.0556662,-0.581018,-0.194587,1.00005
34,-1.2359,-1.30359,2.93006,0.653024,0.126883,0.778034,-0.132867,1.16986
35,-1.76901,-1.77552,-0.263723,0.208631,0.20895,1.49412,-1.61516e-06,6.94507
36,-1.38881,-1.42783,2.08968,1.01026,0.0356258,0.000904685,-0.0567173,1.01163
37,-0.939696,-1.54096,1.16322,1.06145,0.260864,1.73344,-5.19983e-06,2.10203
38,-1.16015,-1.19396,3.77961,0.513854,0.00669231,0.00793852,-0.0384934,1.14221
39,1.49649,-1.19702,2.75302,0.0891074,0.917132,-0.651041,-0.103936,1.0226
40,1.48716,-1.16141,2.79666,-0.0104768,1.18376,0.0141626,-0.094263,2.16602
41,1.45414,-1.08941,3.0097,-0.100975,0.555353,0.654795,-0.55037,1.25981
42,1.68204,-1.52817,1.38666,0.214771,-0.202876,-1.47949,-5.8972,1.03413
43,1.58226,-1.20077,2.08727,-0.0109555,0.844794,0.014273,-0.267994,1.13248
44,1.19235,-0.917486,4.79358,0.140153,0.548909,-1.03678,-1.57934e-06,3.14005
45,1.69421,-0.77303,1.34881,0.227595,-0.876947,-1.39994,-2.43869,1.04701
46,1.03838,1.2045,2.79172,-0.393759,-0.448375,0.0357175,-3.01385e-06,1.27835
47,1.46549,1.53747,2.74909,0.0983119,-0.800028,-0.584256,-5.42045e-06,1.10774
48,1.3958,1.2788,3.23121,-0.0912898,-0.652894,0.762002,-0.423133,0.999995
49,1.44076,-1.28758,2.78642,-0.685663,0.0978043,0.835979,-9.51708e-06,1.29474
50,-1.12923,-0.823315,4.54882,-0.125468,0.473003,-0.872081,-0.302722,0.353874
51,-1.48964,-0.452039,2.15427,0.110256,-0.818533,0.57505,-0.0230487,0.999995
52,-1.42202,1.09873,2.79322,0.0254089,-0.996458,0.000375123,-0.180979,2.51148
53,-1.15083,1.15065,4.91034,0.867377,-0.0844471,0.716663,-0.0768001,2.28558
54,-0.881505,0.920081,6.74486,0.844352,0.105783,-0.731764,-0.124891,2.51271
55,0.933947,-0.920089,5.937,-0.707613,0.712364,-0.00403325,-0.00340025,2.73801
56,0.943675,0.0147066,5.9,-0.80372,-0.00651389,0.012354,-0.0983941,2.49357
57,-0.861654,-0.895903,6.65403,-0.118676,0.922594,-0.762488,-0.132968,2.26544
58,-0.962558,-0.61997,5.96072,-0.0272874,1.50049,-0.0244282,-0.237153,1.07375
59,0.732811,-0.894043,6.54962,-0.995565,-0.139042,-0.914017,-0.332077,1.9219
60,0.971184,-0.983493,5.89088,-1.84152,-0.0395269,0.0520196,7.26206e-06,1.05253
61,-1.06529,-0.672821,5.34558,0.0925691,0.778051,0.663055,-0.5106,2.24643
62,0.0283297,0.0883926,5.93829,0.281501,0.296613,-0.00151542,-3.3845,1.06531
63,1.06713,-1.10632,4.81036,-0.908315,0.133112,0.970608,-0.0610038,2.19584
64,-0.942449,0.986414,5.9045,1.22164,0.056652,0.015835,-0.000794897,1.26122
65,0.996949,-0.0407221,5.94625,-0.124905,-0.744072,0.906971,-1.23042,1.14315
66,1.15403,-0.843854,4.86469,-0.106696,0.545203,0.659573,-0.000394377,3.22969
67,0.290594,0.958411,6.39032,0.609264,-0.0980493,0.786882,-0.490955,0.844844
68,1.11512,-0.847109,5.24871,-0.0990357,0.764852,0.636549,-0.346818,0.517512
69,0.906202,0.808861,7.00072,-0.179688,-1.04718,1.31267,-0.162944,1.51448
70,1.05485,0.960707,5.89095,-0.0106849,-1.95095,-0.00661367,-0.0345899,1.0001
71,0.637965,0.693161,8.73316,0.125168,-0.753189,-0.95104,-0.219721,2.01005
72,0.606911,0.606823,8.87716,0.014299,-1.11859,-0.00166529,-5.36357e-06,1.07083
73,0.735195,0.659672,7.93038,-0.00939863,-1.21249,0.00787787,-0.0479319,1.05514
74,0.570364,0.0400224,8.82528,-0.528168,0.000691383,-0.881438,-0.0904091,1.15482
75,-0.906329,0.735906,6.77676,0.141529,-0.526604,0.875432,-0.000100275,2.49172
76,0.850726,-0.877024,6.84268,-0.657172,0.136517,0.895867,-0.0349176,2.30042
77,-0.741532,-0.842668,6.95575,1.03835,0.185978,1.38953,-0.127272,1.42577
78,0.514758,-0.699926,7.9337,-1.01505,0.0182273,0.00589184,-0.160831,1.1175
79,-0.351912,-0.713055,8.61083,0.840843,0.164641,0.220609,-0.00656383,3.02709
80,0.326201,-0.854994,12.3925,0.218356,0.218785,-2.26813,-0.000146211,2.18053
81,-0.364908,0.0827388,9.60558,1.89321,-0.372832,-0.000875849,-1.06741,1.15489
82,0.652635,-0.55018,10.3158,-1.00116,0.00472093,-1.29024,-0.00712615,1.15611
